res_id,month,inflow_mean,release_mean,storage_mean,storage_pre_mean,release_pre_mean,net_inflow_mean,storage_roll7_mean,release_roll7_mean,inflow_roll7_mean,storage_x_inflow_mean,release_pre2_mean,inflow2_mean,sto_diff_mean,inflow_std,release_std,storage_std,storage_pre_std,release_pre_std,net_inflow_std,storage_roll7_std,release_roll7_std,inflow_roll7_std,storage_x_inflow_std,release_pre2_std,inflow2_std,sto_diff_std
1843,7.0,238796.74995806222,255140.53544715352,54689857.40002677,54706753.25947447,259711.14634743688,,54748807.1278992,270536.21096765896,255601.77431064943,13530528088946.648,228038282030.99176,228486698280.6376,-58949.72787242897,414271.6337314705,392900.57004367,3214637.8180119293,3232930.862836597,400919.62633006054,,3277113.454466712,387998.1850240214,365549.15381000965,24279285349766.09,864960726354.6812,1136993258925.8093,492404.58194137126
1843,8.0,149639.62276915566,167264.5147732091,54183866.40958459,54201022.17697274,168074.12853391402,,54270465.128361754,178086.37138038452,155837.3826851178,8312847721358.816,112404395147.28319,143825599509.92712,-86598.71877716902,348633.91459783114,298122.2802821371,2869801.2409648662,2868620.222867036,290229.4207584138,,2877328.637482368,212382.6583605947,197956.08111756248,19355291880501.7,1326058866070.4424,1545215026341.4026,423548.634247028
1843,9.0,217905.64008680603,239449.45842551638,53602240.97959356,53626120.036983,235500.1459905273,,53675900.05735106,211237.8151496843,193042.56960965192,11864272571575.438,335655262833.2847,327433324249.67706,-73659.07775750812,529355.579847398,530393.0875597345,3084117.8520585797,3047482.9237930286,529586.6792006384,,2948167.1773066465,405463.4657335487,371417.945070828,28747078930264.05,1624247301475.258,1847121058690.6062,726119.3033848458
1843,10.0,452835.21247134946,628190.1229295089,50990181.23188376,51156438.44276696,610101.2635766566,,51607059.035306826,570422.1465176331,422975.34491091873,22356598042728.44,999720020678.6918,663782939551.3068,-616877.8034230692,677603.4137238597,804581.3073605988,6715476.607985784,6527526.804320909,792512.0441621669,,5950504.021015731,715900.1238632422,563217.6116688577,37016254782840.25,2214966680837.367,3261130918594.6465,1345948.9476770626
1843,11.0,1075974.8199783734,1574955.0241418735,40537254.68152292,41038535.83900884,1546539.7232292749,,42481705.54514461,1449186.2946385918,970419.432078946,43753165167259.2,3095183480963.5107,1763486480215.8325,-1944450.8636216857,778679.738845821,824788.2091476702,10717197.999575417,10755203.567230409,839088.1403367951,,10692058.917098137,807749.8419743541,610559.8249134716,33935184406099.37,2950926898735.893,4198758782510.804,1601274.2558805721
1843,12.0,1485576.4168049174,1649782.9356048098,30033298.924415,30201190.2373493,1659835.3809977584,,30779312.791208826,1677876.9505980047,1481830.5241029018,50219153471371.12,4400100754079.455,4899658360208.73,-746013.8667938231,1641707.9917176226,1296119.3103467224,8095004.2046936415,8130055.905768796,1283185.4243804559,,8036300.878324261,1134494.9631127468,1234462.1336867795,68004258095875.82,5979020167213.705,21786933598704.08,3513748.8773083044
132,1.0,31312521.09714286,16945878.24,4138051585.714286,4123684942.857143,16666619.245714286,31312521.09714286,4071739682.6530614,15956062.736326534,33722343.732244916,1.3044088690695486e+17,393684866639377.25,1454239545529004.2,51945260.204081714,21844311.69553726,10985960.159397522,300934806.7924245,300804849.03230786,10804746.405090814,21844311.69553726,299456754.4983527,9097014.369021146,19571299.044706013,8.960846279419286e+16,488457061506380.44,2772550879676836.0,61530895.15555372
132,2.0,38616886.17464789,27727562.230985917,4464012007.0422535,4453122683.098592,26703465.46478873,38616886.17464789,4420767115.694165,24377977.56458753,35771637.677263595,1.7790178865187152e+17,1714604385083026.5,2864781272733223.0,32355567.4044266,37192185.10501338,33178062.0462884,326441827.66257244,329224665.05477715,31758972.93769244,37192185.10501338,329729816.7718214,26452345.678706042,26446986.236964297,1.8080346316641786e+17,3410098556332446.5,7786541508048273.0,69987984.2385488
132,3.0,30121225.21342282,21093305.75033557,4654042630.872483,4645014711.409396,22480101.132885907,30121225.21342282,4621868273.25024,26029600.429530203,32585206.472099725,1.39136438040566e+17,1496015598787092.5,1090408022817032.4,23146438.15915624,13577816.853343457,30006357.404380348,214842565.91077644,211221824.46453193,31580916.78364172,13577816.853343457,200495679.0647233,33071745.689140484,15808779.8707644,6.065380485768408e+16,3589665594178723.5,1183688621078855.0,67056880.467404425
132,4.0,25017181.68,14130031.68,5111349475.0,5100462325.0,13363970.4,25017181.68,5064696769.047619,11671396.148571433,24295277.21142859,1.2828755503620062e+17,238015759294056.97,760124754233811.8,35765555.95238094,11635877.942212526,9178639.007622546,232923480.0335156,232601429.41832665,7740761.114423366,11635877.942212526,231866598.73848784,5210122.903472508,7937983.3888682425,6.327743446930011e+16,410153220321365.94,924885301470028.6,25585148.382797804
